"Itemnumber","Collectionname","Groupnumber","Catintrono","Stylename","Roomname","Groupname","Piecename","Fabriccolor","Finishcolor","Assemblyrequired","Typeofpackaging","Pack","Dropship","Countryoforigin","Catalogdescription","Shippingweight","Cubes","Itemdesc","Cartonlength","Cartonwidth","Cartonheight","Product 1 Desc","Product 1 Length","Product 1 Width","Product 1 Height","Product 2 Desc","Product 2 Length","Product 2 Width","Product 2 Height","Product 3 Desc","Product 3 Length","Product 3 Width","Product 3 Height","Product 4 Desc","Product 4 Length","Product 4 Width","Product 4 Height","UPC",
800209,,"G800209",2013,"CAS (CASUAL)","H (HOME OFFICE)","HOME OFFICE","OFFICE CHAIR","Black","Black",0,"BOX",1,0,"China","BLACK OFFICE CHAIR",49.6,6.8,"OFFICE CHAIR",33.5,13.75,25.5,"OFFICE CHAIR",27,28,49.25,,,,,,,,,,,,,21032264482,
800210,,"G800210",2013,"CAS (CASUAL)","H (HOME OFFICE)","HOME OFFICE","OFFICE CHAIR","Black","Black",0,"BOX",1,0,"China","BLACK OFFICE CHAIR",49.6,6.8,"OFFICE CHAIR",33.5,13.75,25.5,"OFFICE CHAIR",27,28.5,50,,,,,,,,,,,,,21032264499,
800211,,"G800211","2005-2","CON (CONTEMPORARY)","H (HOME OFFICE)","HOME OFFICE","DESK",,"Black",0,"BOX",1,0,"Taiwan","Glass top computer workstation with printer and CD storage, pull out keyboard tray and CPU tray.",53.9,3.34,"GLASS TOP COMPUTER WORKSTATION",40.5,31.75,4.5,"GLASS TOP COMPUTER WORKSTATION",4.87,23.62,37.75,,,,,,,,,,,,,21032127855,
800212,,"G800212",2009,"CAS (CASUAL)","H (HOME OFFICE)","HOME OFFICE","SECRETARY","Black","Black",0,"BOX",1,0,"China","Contemporary office chair with gas lift and padded arms in leather-like black vinyl.",36.08,4,"Office Chair",25.75,11.25,23.87,"OFFICE CHAIR",29.25,26.75,45,,,,,,,,,,,,,21032183684,
800213,,"G800231",2006,"CAS (CASUAL)","H (HOME OFFICE)","HOME OFFICE","BOOKCASE",,"Cappuccino",1,"BOX",1,0,"China","Clean lines and functionality describe this home office group. The glass-top desk features a keyboard tray, two locking drawers, four box drawers and two file drawers. Matching bookcase features sliding doors with shelving. Cube bookcase comes as one complete unit as shown. Matching credenza offers two file drawers.",,,,,,,"BOOKCASE (CUBE)",55,12,68,,,,,,,,,,,,,,
"800213B1",,"G800231",2006,"CAS (CASUAL)","H (HOME OFFICE)","HOME OFFICE","BOOKCASE",,"Cappuccino",1,"BOX",1,0,"China","Clean lines and functionality describe this home office group. The glass-top desk features a keyboard tray, two locking drawers, four box drawers and two file drawers. Matching bookcase features sliding doors with shelving. Cube bookcase comes as one complete unit as shown. Matching credenza offers two file drawers.",25.3,1.05,"Side/Partition/Back",13.75,14,9.5,,,,,,,,,,,,,,,,,21032136628,
"800213B2",,"G800231",2006,"CAS (CASUAL)","H (HOME OFFICE)","HOME OFFICE","BOOKCASE",,"Cappuccino",1,"BOX",1,0,"China","Clean lines and functionality describe this home office group. The glass-top desk features a keyboard tray, two locking drawers, four box drawers and two file drawers. Matching bookcase features sliding doors with shelving. Cube bookcase comes as one complete unit as shown. Matching credenza offers two file drawers.",83.6,3.44,"Top/Back/Shelf Board",70,13.88,6.13,,,,,,,,,,,,,,,,,21032136635,
800215,,"G800215",2010,"TRN (TRANSITIONAL)","H (HOME OFFICE)","HOME OFFICE","LAPTOP STAND",,"Black",0,"BOX",1,0,"Taiwan","Laptop stand in black with adjustable height and top.",14.96,1.49,"BLACK LAPTOP STAND",25,23.63,4.37,"BLACK LAPTOP STAND",28.24,21,25.25,,,,,,,,,,,,,21032200596,
800217,,"G800217",2010,"TRN (TRANSITIONAL)","H (HOME OFFICE)","HOME OFFICE","DESK",,"Black",0,"BOX",1,0,"Taiwan","Computer desk in black.",24.86,1.65,"BLACK COMPUTER DESK",30.25,18.88,5,"BLACK COMPUTER DESK",30,17.75,29,,,,,,,,,,,,,21032200619,
800222,,"G800222",2012,"CON (CONTEMPORARY)","H (HOME OFFICE)","HOME OFFICE","DESK",,"Black",0,"BOX",1,0,"China","This functional office desk is perfect for your home office or bedroom. It features a slide-out keyboard tray and is finished in black with chrome accented tube support.",46.2,2.67,"Desk",42,27.5,4,"DESK",42,22,30,,,,,,,,,,,,,21032242701,
800228,,"G800228",2011,"CAS (CASUAL)","H (HOME OFFICE)","HOME OFFICE","DESK",,"Black / Silver",0,"BOX",1,0,"China","A modern home office desk that features a silver frame and black glass with black panel.",71.87,4.28,"BLACK/SILVER COMPUTER UNIT",38,26,7.5,"BLACK/SILVER  COMPUTER UNIT",59,23.5,29.5,,,,,,,,,,,,,21032224431,
800231,,"G800231",2006,"CAS (CASUAL)","H (HOME OFFICE)","HOME OFFICE","DESK",,"Cappuccino",1,"BOX",1,0,"China","Clean lines and functionality describe this home office group. The glass-top desk features a keyboard tray, two locking drawers, four box drawers and two file drawers. Matching bookcase features sliding doors with shelving. Cube bookcase comes as one complete unit as shown. Matching credenza offers two file drawers.",,,,,,,"DESK",55,27.5,31,,,,,,,,,,,,,,
"800231B1",,"G800231",2006,"CAS (CASUAL)","H (HOME OFFICE)","HOME OFFICE","DESK",,"Cappuccino",1,"BOX",1,0,"China","Clean lines and functionality describe this home office group. The glass-top desk features a keyboard tray, two locking drawers, four box drawers and two file drawers. Matching bookcase features sliding doors with shelving. Cube bookcase comes as one complete unit as shown. Matching credenza offers two file drawers.",60.5,2.1,"Desk Top box 1 of 2",57.75,29.63,2.12,,,,,,,,,,,,,,,,,21032136642,
"800231B2",,"G800231",2006,"CAS (CASUAL)","H (HOME OFFICE)","HOME OFFICE","DESK",,"Cappuccino",1,"BOX",1,0,"China","Clean lines and functionality describe this home office group. The glass-top desk features a keyboard tray, two locking drawers, four box drawers and two file drawers. Matching bookcase features sliding doors with shelving. Cube bookcase comes as one complete unit as shown. Matching credenza offers two file drawers.",57.2,6.79,"Left File Cabinet",22.5,18.62,28,,,,,,,,,,,,,,,,,21032136659,
"800231B3",,"G800231",2006,"CAS (CASUAL)","H (HOME OFFICE)","HOME OFFICE","DESK",,"Cappuccino",1,"BOX",1,0,"China","Clean lines and functionality describe this home office group. The glass-top desk features a keyboard tray, two locking drawers, four box drawers and two file drawers. Matching bookcase features sliding doors with shelving. Cube bookcase comes as one complete unit as shown. Matching credenza offers two file drawers.",57.2,6.79,"Right File Cabinet",22.5,18.62,28,,,,,,,,,,,,,,,,,21032136666,
"800231B4",,"G800231",2006,"CAS (CASUAL)","H (HOME OFFICE)","HOME OFFICE","DESK",,"Cappuccino",1,"BOX",1,0,"China","Clean lines and functionality describe this home office group. The glass-top desk features a keyboard tray, two locking drawers, four box drawers and two file drawers. Matching bookcase features sliding doors with shelving. Cube bookcase comes as one complete unit as shown. Matching credenza offers two file drawers.",13.2,1.03,"Back/Keyboard",25.25,19.62,3.62,,,,,,,,,,,,,,,,,21032136673,
800232,"Two-inOne Computer Desk","G800232","2012-2","CAS (CASUAL)","H (HOME OFFICE)","ACCENTS","DESK",,"Black",0,"BOX",1,0,"Taiwan","Create an effective work space with this versatile computer desk. This simple and stylish desk features a 3-drawer compartment to keep your things organized and handy. Cut-out holders for pens, pencils and other tools are also built-on the desk edges. Not only is this a great flat surface, but this desk easily converts into a useful drafting table. With a black finished table top and silver legs, this desk is sure to compliment your style.",30.58,2.84,"COMPUTER DESK",43,24,4.75,"COMPUTER DESK",41,23.75,29.75,,,,,,,,,,,,,21032250836,
800233,,"G800233","2006-2","TRN (TRANSITIONAL)","H (HOME OFFICE)","HOME OFFICE","BOOKCASE",,"Mahogany",0,"BOX",1,0,"China","Dress up any corner and show off your collectables with these beautifully crafted corner shelves. Available in rubbed black and rich mahogany finishes.",50.6,5.82,"Bookcase",79,25.5,5,"BOOKCASE",20,20,77,,,,,,,,,,,,,21032147143,
800234,,"G800234",2008,"TRN (TRANSITIONAL)","H (HOME OFFICE)","HOME OFFICE","BOOKCASE",,"Cappuccino",0,"BOX",1,0,"China","This square five shelf bookcase is perfect for tight spaces to display items or use as storage space.",33.88,2.47,"Bookcase",51,16.75,5,"BOOKCASE",16,16,66.75,,,,,,,,,,,,,21032167288,
800235,,"G800235","2008-2","CON (CONTEMPORARY)","H (HOME OFFICE)","HOME OFFICE","DESK",,"Black",0,"BOX",1,0,"Taiwan","Computer desk in black",37,2.46,"BLACK COMPUTER DESK",32.25,24,5.5,"BLACK COMPUTER DESK",27,23,28,,,,,,,,,,,,,21032174279,
800236,,"G800236","2008-2","CON (CONTEMPORARY)","H (HOME OFFICE)","HOME OFFICE","DESK",,"Walnut",0,"BOX",1,0,"Taiwan","Dark walnut finished wood and glass combination. A sleek tempered glass work surface reveals a pull out a keyboard tray that provides plenty of extra work space.",74.8,5.14,"DARK WALNUT COMPUTER DESK",50,30.25,5.87,"DARK WALNUT COMPUTER DESK",47,27.5,30.5,,,,,,,,,,,,,21032174866,
800240,,"G800240","2008-2","TRN (TRANSITIONAL)","H (HOME OFFICE)","HOME OFFICE","BOOKCASE",,"Cappuccino",0,"BOX",1,0,"China","An attractive addition to your home, this spacious five shelf bookcase offers plenty of surface area for storage and display. Use corner bookcases to add additional storage and display space. Finished in a cappuccino color.",25.96,2.41,"BLACK CORNER BOOKCASE",52.25,20,4,"BLACK CORNER BOOKCASE",16,16,66,,,,,,,,,,,,,21032174293,
800244,,"G800244","2008-2","CON (CONTEMPORARY)","H (HOME OFFICE)","HOME OFFICE","DESK",,"Black",0,"BOX",1,0,"Taiwan","Computer workstation in metla/black color and with a marble finish black top.",69.3,4.68,"BLACK METAL COMPUTER DESK WITH MARBLE FINISH TOP",51,31.75,5,"BLACK METAL COMPUTER DESK WITH MARBLE FINISH TOP",47,27.5,38.5,,,,,,,,,,,,,21032174309,
800245,,"G800245","2008-2","CON (CONTEMPORARY)","H (HOME OFFICE)","HOME OFFICE","DESK",,"Black",0,"BOX",1,0,"Taiwan","Mobile computer desk in chrome and black.",39,2.72,"BLACK MOBILE COMPUTER DESK",35.25,22.25,6,"BLACK/CHROME MOBILE COMPUTER DESK",30,27,34,,,,,,,,,,,,,21032174316,
800251,,"G800231",2006,"CAS (CASUAL)","H (HOME OFFICE)","HOME OFFICE","DESK",,"Cappuccino",0,"BOX",1,0,"China","Clean lines and functionality describe this home office group. The glass-top desk features a keyboard tray, two locking drawers, four box drawers and two file drawers. Matching bookcase features sliding doors with shelving. Cube bookcase comes as one complete unit as shown. Matching credenza offers two file drawers.",74.8,5.31,"Desk",62.75,32.5,4.5,"WRITING DESK",60,29,30,,,,,,,,,,,,,21032136680,
800253,,"G800253","2006-2","TRN (TRANSITIONAL)","H (HOME OFFICE)","HOME OFFICE","BOOKCASE",,"Mahogany",0,"BOX",1,0,"China","Weathered black and warm rich mahogany book shelves. Use them alone or stack them up side by side.",45.1,4.51,"Bookcase",79,23.25,4.25,"BOOKCASE",26,14,77,,,,,,,,,,,,,21032147150,
800254,,"G800231",2006,"CAS (CASUAL)","H (HOME OFFICE)","HOME OFFICE","FILE CABINET",,"Cappuccino",0,"BOX",1,0,"China","Clean lines and functionality describe this home office group. The glass-top desk features a keyboard tray, two locking drawers, four box drawers and two file drawers. Matching bookcase features sliding doors with shelving. Cube bookcase comes as one complete unit as shown. Matching credenza offers two file drawers.",55,6.54,"File Cabinet",22.13,18.25,28,"FILE CABINET",16,20,27,,,,,,,,,,,,,21032136697,
800255,,"G800231",2006,"CAS (CASUAL)","H (HOME OFFICE)","HOME OFFICE","FILE CABINET",,"Cappuccino",0,"BOX",1,0,"China","Clean lines and functionality describe this home office group. The glass-top desk features a keyboard tray, two locking drawers, four box drawers and two file drawers. Matching bookcase features sliding doors with shelving. Cube bookcase comes as one complete unit as shown. Matching credenza offers two file drawers.",35.2,2.15,"Desk Return",39.5,17.12,5.5,"DESK RETURN WITH CASTERS",37,16,27,,,,,,,,,,,,,21032136703,
800256,,"G800256",2009,"TRN (TRANSITIONAL)","H (HOME OFFICE)","HOME OFFICE","BOOKCASE",,"Cappuccino",0,"BOX",1,0,"China","This bookcase console creates a wall of storage and display. Finished in a cappuccino color.",102.3,10.62,"Bookcase",67.38,30.25,9,"BOOKCASE (CUBE)",36,14.25,64,,,,,,,,,,,,,21032183707,
800259,,"G800259",2012,"CON (CONTEMPORARY)","H (HOME OFFICE)","HOME OFFICE","BOOKCASE",,"Cappuccino",0,"BOX",1,0,"China","These wall units can be used to dress up any wall with the look of interlocking shelves, which provide storage and display space in differently sized compartments. Finished in a black or cappuccino color.",80.3,5.75,"Book Shelf",72.25,13.75,10,"BOOK SHELF",35.5,11.5,70.75,,,,,,,,,,,,,21032242718,
800262,,"G800262","2010-2","TRN (TRANSITIONAL)","H (HOME OFFICE)","HOME OFFICE","BOOKCASE",,"Black",0,"BOX",1,0,"Taiwan","These wall units can be used to dress up any wall with the look of interlocking shelves, which provide storage and display space in differently sized compartments. Finished in a black or cappuccino color.",80.3,4.54,"Bookcase",68,14,8.25,"BOOKCASE",31.5,11.75,67,,,,,,,,,,,,,21032213442,
800264,,"G800264","2009-2","TRN (TRANSITIONAL)","H (HOME OFFICE)","HOME OFFICE","BOOKCASE",,"Cappuccino",0,"BOX",1,0,"Taiwan","These wall units can be used to dress up any wall with the look of interlocking shelves, which provide storage and display space in differently sized compartments. Finished in a black or cappuccino color.",57.68,5.16,"Bookcase",71.87,14,8.87,"BOOKCASE",35,11.75,70.5,,,,,,,,,,,,,21032229917,
800265,,"G800265","2009-2","TRN (TRANSITIONAL)","H (HOME OFFICE)","HOME OFFICE","BOOKCASE",,"Cappuccino",0,"BOX",1,0,"Taiwan","These wall units can be used to dress up any wall with the look of interlocking shelves, which provide storage and display space in differently sized compartments. Finished in a black or cappuccino color.",78.1,5.53,"Bookcase",71.87,14,9.5,"BOOKCASE",35,11.75,70.5,,,,,,,,,,,,,21032229924,
