"Itemnumber","Collectionname","Groupnumber","Catintrono","Stylename","Roomname","Groupname","Piecename","Fabriccolor","Finishcolor","Assemblyrequired","Typeofpackaging","Pack","Dropship","Countryoforigin","Catalogdescription","Shippingweight","Cubes","Itemdesc","Cartonlength","Cartonwidth","Cartonheight","Product 1 Desc","Product 1 Length","Product 1 Width","Product 1 Height","Product 2 Desc","Product 2 Length","Product 2 Width","Product 2 Height","Product 3 Desc","Product 3 Length","Product 3 Width","Product 3 Height","Product 4 Desc","Product 4 Length","Product 4 Width","Product 4 Height","UPC",
201784,"Murray Collection","G201783","2011-2","TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","MIRROR",,"Brown Cherry",0,"BOX",1,0,"Malaysia","Add timeless style to your bedroom with the gracefull Murray collection. These beautifully crafted pieces are perfectly scaled to impart a rich substantial feel without overwhelming your space.",22,2.95,"Mirror",45.5,39,2.75,"MIRROR",42,0.75,34.25,,,,,,,,,,,,,21032233013,
201785,"Murray Collection","G201783","2011-2","TRN (TRANSITIONAL)","B (BEDROOM)","MASTER BEDROOM","CHEST",,"Brown Cherry",0,"BOX",1,0,"Malaysia","Add timeless style to your bedroom with the graceful Murray Collection. These beautifully crafted pieces are perfectly scaled to impart a rich substantial feel without overwhelming your space.",116.8,26.97,"CHEST",40.75,20.25,56.25,"CHEST",38,17.75,51.25,,,,,,,,,,,,,21032233020,
201786,"Murray Collection","G201783","2011-2","TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","MEDIA CHEST",,"Brown Cherry",0,"BOX",1,0,"Malaysia","Add timeless style to your bedroom with the graceful Murray collection. These beautifully crafted pieces are perfectly scaled to impart a rich substantial feel without overwhelming your space.",81.4,18.49,"Media Chest",39.75,20.25,39.5,"MEDIA CHEST",37,17.25,34.25,,,,,,,,,,,,,21032233037,
"201820KE","Dubarry Collection","G201823","2012-2","TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Brown",1,"BOX",1,0,"Indonesia","Bring opulence to your bedroom with this ornate styled bedroom collection. This set features intricate carvings and moldings on the bed and mirror. Drawers are constructed with dovetail sides for added strength and smooth full extension drawer glides. Made from mahogany solids and veneers and finished in a rich brown tones.",,,,,,,"KE = EASTERN KING",82.5,97.5,83.25,,,,,,,,,,,,,,
"201820KEB1","Dubarry Collection","G201823","2012-2","TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Brown",1,"BOX",1,0,"Indonesia","Bring opulence to your bedroom with this ornate styled bedroom collection. This set features intricate carvings and moldings on the bed and mirror. Drawers are constructed with dovetail sides for added strength and smooth full extension drawer glides. Made from mahogany solids and veneers and finished in a rich brown tones.",,,,,,,,,,,,,,,,,,,,,,,21032249069,
"201820KEB2","Dubarry Collection","G201823","2012-2","TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Brown",1,"BOX",1,0,"Indonesia","Bring opulence to your bedroom with this ornate styled bedroom collection. This set features intricate carvings and moldings on the bed and mirror. Drawers are constructed with dovetail sides for added strength and smooth full extension drawer glides. Made from mahogany solids and veneers and finished in a rich brown tones.",112.46,15.47,"B2 = FB",85.63,8.88,35.25,,,,,,,,,,,,,,,,,21032249076,
"201820KEB3","Dubarry Collection","G201823","2012-2","TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Brown",1,"BOX",1,0,"Indonesia","Bring opulence to your bedroom with this ornate styled bedroom collection. This set features intricate carvings and moldings on the bed and mirror. Drawers are constructed with dovetail sides for added strength and smooth full extension drawer glides. Made from mahogany solids and veneers and finished in a rich brown tones.",50.72,2.39,"B3 = RAILS",84.13,5.13,9.13,,,,,,,,,,,,,,,,,21032249083,
"201820KW","Dubarry Collection","G201823","2012-2","TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Brown",1,"BOX",1,0,"Indonesia","Bring opulence to your bedroom with this ornate styled bedroom collection. This set features intricate carvings and moldings on the bed and mirror. Drawers are constructed with dovetail sides for added strength and smooth full extension drawer glides. Made from mahogany solids and veneers and finished in a rich brown tones.",,,,,,,"KW = CALIFORNIA KING",82.5,96.5,83.25,,,,,,,,,,,,,,
"201820KWB1","Dubarry Collection","G201823","2012-2","TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Brown",1,"BOX",1,0,"Indonesia","Bring opulence to your bedroom with this ornate styled bedroom collection. This set features intricate carvings and moldings on the bed and mirror. Drawers are constructed with dovetail sides for added strength and smooth full extension drawer glides. Made from mahogany solids and veneers and finished in a rich brown tones.",145.53,25.49,"201820KWB1",85.63,8.88,58.13,,,,,,,,,,,,,,,,,21032249090,
"201820KWB2","Dubarry Collection","G201823","2012-2","TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Brown",1,"BOX",1,0,"Indonesia","Bring opulence to your bedroom with this ornate styled bedroom collection. This set features intricate carvings and moldings on the bed and mirror. Drawers are constructed with dovetail sides for added strength and smooth full extension drawer glides. Made from mahogany solids and veneers and finished in a rich brown tones.",112.46,15.47,"B2 = FB",85.63,8.88,35.25,,,,,,,,,,,,,,,,,21032249106,
"201820KWB3","Dubarry Collection","G201823","2012-2","TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Brown",1,"BOX",1,0,"Indonesia","Bring opulence to your bedroom with this ornate styled bedroom collection. This set features intricate carvings and moldings on the bed and mirror. Drawers are constructed with dovetail sides for added strength and smooth full extension drawer glides. Made from mahogany solids and veneers and finished in a rich brown tones.",50.72,2.5,"B3 = RAILS",88,5.13,9.13,,,,,,,,,,,,,,,,,21032249113,
"201820Q","Dubarry Collection","G201823","2012-2","TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Brown",1,"BOX",1,0,"Indonesia","Bring opulence to your bedroom with this ornate styled bedroom collection. This set features intricate carvings and moldings on the bed and mirror. Drawers are constructed with dovetail sides for added strength and smooth full extension drawer glides. Made from mahogany solids and veneers and finished in a rich brown tones.",,,,,,,"QUEEN SIZE BED",66.5,92.5,83.25,,,,,,,,,,,,,,
"201820QB1","Dubarry Collection","G201823","2012-2","TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Brown",1,"BOX",1,0,"Indonesia","Bring opulence to your bedroom with this ornate styled bedroom collection. This set features intricate carvings and moldings on the bed and mirror. Drawers are constructed with dovetail sides for added strength and smooth full extension drawer glides. Made from mahogany solids and veneers and finished in a rich brown tones.",127.89,20.04,"B1 = HB",69.75,8.88,56.13,,,,,,,,,,,,,,,,,21032249120,
"201820QB2","Dubarry Collection","G201823","2012-2","TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Brown",1,"BOX",1,0,"Indonesia","Bring opulence to your bedroom with this ornate styled bedroom collection. This set features intricate carvings and moldings on the bed and mirror. Drawers are constructed with dovetail sides for added strength and smooth full extension drawer glides. Made from mahogany solids and veneers and finished in a rich brown tones.",97.61,12.59,"B2 = FB",97.61,8.88,35.25,,,,,,,,,,,,,,,,,21032249137,
"201820QB3","Dubarry Collection","G201823","2012-2","TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Brown",1,"BOX",1,0,"Indonesia","Bring opulence to your bedroom with this ornate styled bedroom collection. This set features intricate carvings and moldings on the bed and mirror. Drawers are constructed with dovetail sides for added strength and smooth full extension drawer glides. Made from mahogany solids and veneers and finished in a rich brown tones.",50.72,2.39,"B3 = RAILS",84.13,5.13,9.13,,,,,,,,,,,,,,,,,21032249144,
"201821KE","Dubarry Collection","G201823",2012,"TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Mahogany",1,"BOX",1,0,"Indonesia","Bring opulence to your bedroom with this ornate styled bedrrom collection. This set features intricate carvings and moldings on the bed and mirror. Drawers are constructed with dovetail sides for added strength and smooth full extension drawer glides. Made from mahogany solids and veneers and finished in a rich brown tone.",,,,,,,"EASTERN KING SIZE POSTER BED",86.75,102,68,,,,,,,,,,,,,,
"201821KEB1","Dubarry collection","G201823",2012,"TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Mahogany",1,"BOX",1,0,"Indonesia","Bring opulence to your bedroom with this ornate styled bedrrom collection. This set features intricate carvings and moldings on the bed and mirror. Drawers are constructed with dovetail sides for added strength and smooth full extension drawer glides. Made from mahogany solids and veneers and finished in a rich brown tone.",145.2,38.82,"HEADBOARD BOX 1 OF 3",87.79,12.4,61.61,,,,,,,,,,,,,,,,,21032232665,
"201821KEB2","DuBarry collection","G201823",2012,"TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Mahogany",1,"BOX",1,0,"Indonesia","Bring opulence to your bedroom with this ornate styled bedrrom collection. This set features intricate carvings and moldings on the bed and mirror. Drawers are constructed with dovetail sides for added strength and smooth full extension drawer glides. Made from mahogany solids and veneers and finished in a rich brown tone.",112.2,26.79,"FOOTBOARD BOX 2 OF 3",87.79,12.4,42.51,,,,,,,,,,,,,,,,,21032232672,
"201821KEB3","DuBarry","G201823",2012,"TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Mahogany",1,"BOX",1,0,"Indonesia","Bring opulence to your bedroom with this ornate styled bedrrom collection. This set features intricate carvings and moldings on the bed and mirror. Drawers are constructed with dovetail sides for added strength and smooth full extension drawer glides. Made from mahogany solids and veneers and finished in a rich brown tone.",50.6,2.3,"SIDE RAILS BOX 3 OF 3",84.06,5.11,9.25,,,,,,,,,,,,,,,,,21032233099,
"201821KW","DuBarry","G201823",2012,"TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Mahogany",1,"BOX",1,0,"Indonesia","Bring opulence to your bedroom with this ornate styled bedrrom collection. This set features intricate carvings and moldings on the bed and mirror. Drawers are constructed with dovetail sides for added strength and smooth full extension drawer glides. Made from mahogany solids and veneers and finished in a rich brown tone.",,,,,,,"CALIFORNIA KING SIZE POSTER BED",107,90,71,,,,,,,,,,,,,,
"201821KWB1",,"G201823",2012,"TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Mahogany",1,"BOX",1,0,"Indonesia","Bring opulence to your bedroom with this ornate styled bedroom collection. This set features intricate carvings and moldings on the bed and mirror. Drawers are constructed with dovetail sides for added strength and smooth full extension drawer glides. Made from mahogany solids and veneers and finished in a rich brown tone.",145.2,38.82,"HEADBOARD BOX 1 OF 3",87.79,12.4,61.61,,,,,,,,,,,,,,,,,21032233105,
"201821KWB2","DuBarry","G201823",2012,"TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Mahogany",1,"BOX",1,0,"Indonesia","Bring opulence to your bedroom with this ornate styled bedroom collection. This set features intricate carvings and moldings on the bed and mirror. Drawers are constructed with dovetail sides for added strength and smooth full extension drawer glides. Made from mahogany solids and veneers and finished in a rich brown tone.",112.2,26.79,"FOOTBOARD BOX 2 OF 3",87.79,12.4,42.51,,,,,,,,,,,,,,,,,21032233112,
"201821KWB3","DuBarry","G201823",2012,"TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Mahogany",1,"BOX",1,0,"Indonesia","Bring opulence to your bedroom with this ornate styled bedroom collection. This set features intricate carvings and moldings on the bed and mirror. Drawers are constructed with dovetail sides for added strength and smooth full extension drawer glides. Made from mahogany solids and veneers and finished in a rich brown tone.",50.6,2.41,"SIDE RAILS BOX 3 OF 3",87.99,5.11,9.25,,,,,,,,,,,,,,,,,21032233129,
"201821Q","Dubarry","G201823",2012,"TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Mahogany",1,"BOX",1,0,"Indonesia","Bring opulencce to your bedroom with this ornate styled bedrrom collection. This set features intricate carvings and moldings on the bed and mirror. Drawers are constructed with dovetail sides for added strength and smooth full extension drawer glides. Made from mahogany solids and veneers and finished in a rich brown tone.",,,,,,,"QUEEN SIZE POSTER BED",105,69.5,66.5,,,,,,,,,,,,,,
"201821QB1","DuBarry","G201823",2012,"TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Mahogany",1,"BOX",1,0,"Indonesia","Bring opulence to your bedroom with this ornate styled bedroom collection. This set features intricate carvings and moldings on the bed and mirror. Drawers are constructed with dovetail sides for added strength and smooth full extension drawer glides. Made from mahogany solids and veneers and finished in a rich brown tone.",127.6,30.92,"HEADBOARD BOX 1 OF 3",72.24,12.4,59.64,,,,,,,,,,,,,,,,,21032233136,
"201821QB2","Dubarry","G201823",2012,"TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Mahogany",1,"BOX",1,0,"Indonesia","Bring opulence to your bedroom with this ornate styled bedroom collection. This set features intricate carvings and moldings on the bed and mirror. Drawers are constructed with dovetail sides for added strength and smooth full extension drawer glides. Made from mahogany solids and veneers and finished in a rich brown tone.",92.4,22.04,"FOOTBOARD BOX 2 OF 3",72.24,12.4,42.51,,,,,,,,,,,,,,,,,21032233143,
"201821QB3","Dubarry","G201823",2012,"TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Mahogany",1,"BOX",1,0,"Indonesia","Bring opulence to your bedroom with this ornate styled bedroom collection. This set features intricate carvings and moldings on the bed and mirror. Drawers are constructed with dovetail sides for added strength and smooth full extension drawer glides. Made from mahogany solids and veneers and finished in a rich brown tone.",50.6,2.3,"SIDE RAILS BOX 3 OF 3",84.05,5.11,9.25,,,,,,,,,,,,,,,,,21032233150,
201822,"DuBarry","G201823",2012,"TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","NIGHTSTAND",,"Mahogany",0,"BOX",1,0,"Indonesia","Bring opulence to your bedroom with this ornate styled bedroom collection. This set features intricate carvings and moldings on the bed and mirror. Drawers are constructed with dovetail sides for added strength and smooth full extension drawer glides. Made from mahogany solids and veneers and finished in a rich brown tone.",90.2,15.01,"Night Stand",34.25,21.25,35.62,"NIGHT STAND",30.5,18,30.5,,,,,,,,,,,,,21032233167,
201823,"DuBarry","G201823",2012,"TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","DRESSER",,"Mahogany",0,"BOX",1,0,"Indonesia","Bring opulence to your bedroom with this ornate styled bedroom collection. This set features intricate carvings and moldings on the bed and mirror. Drawers are constructed with dovetail sides for added strength and smooth full extension drawer glides. Made from mahogany solids and veneers and finished in a rich brown tone.",202.4,41.58,"DRESSER",72.44,21.25,46.65,"DRESSER",71.5,22.5,43.7,,,,,,,,,,,,,21032233174,
201824,"DuBarry","G201823",2012,"TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","MIRROR",,"Mahogany",0,"BOX",1,0,"Indonesia","Bring opulence to your bedroom with this ornate styled bedroom collection. This set features intricate carvings and moldings on the bed and mirror. Drawers are constructed with dovetail sides for added strength and smooth full extension drawer glides. Made from mahogany solids and veneers and finished in a rich brown tone.",46.2,9.29,"MIRROR",51.77,5.9,52.55,"MIRROR",52.2,53,8,,,,,,,,,,,,,21032233181,
201825,"DuBarry","G201823",2012,"TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","CHEST",,"Mahogany",0,"BOX",1,0,"Indonesia","Bring opulence to your bedroom with this ornate styled bedroom collection. This set features intricate carvings and moldings on the bed and mirror. Drawers are constructed with dovetail sides for added strength and smooth full extension drawer glides. Made from mahogany solids and veneers and finished in a rich brown tone.",162.8,35.19,"CHEST",45.27,24.25,63.18,"CHEST",41.5,19.5,58,,,,,,,,,,,,,21032233198,
201826,"Dubarry","G201823",2012,"TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","MEDIA CHEST",,"Mahogany",0,"BOX",1,0,"Indonesia","Bring opulence to your bedroom with this ornate styled bedroom collection. This set features intricate carvings and moldings on the bed and mirror. Drawers are constructed with dovetail sides for added strength and smooth full extension drawer glides. Made from mahogany solids and veneers and finished in a rich brown tone.",165,30.53,"Media chest",52.75,21.25,47.04,"MEDIA CHEST",48,20,40,,,,,,,,,,,,,21032233204,
"201830KE","Keilani collection","G201833",2012,"TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Cherry",1,"BOX",1,0,"Vietnam","Island inspired styling adds grace and elegance to the Keilani Bedroom collection. It's rich design is accented with exquisite wicker styles resin inlays on all the case pieces and bed. Crafted from select hardwoods and cherry veneers, drawers are constructed with engllish dovetail sides and smooth full extension glides. finished in a rich cherry.",,,,,,,"EASTERN KING SIZE POSTER BED",88.75,78.5,68,,,,,,,,,,,,,,
"201830KEB1","Keilani Collection","G201833",2012,"TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Cherry",1,"BOX",1,0,"Vietnam","Island inspired styling adds grace and elegance to the Keilani Bedroom collection. It's rich design is accented with exquisite wicker styles resin inlays on all the case pieces and bed. Crafted from select hardwoods and cherry veneers, drawers are constructed with engllish dovetail sides and smooth full extension glides. finished in a rich cherry.",108,29.41,"B1 = HEADBOARD, BOX 1 OF 3",81.88,71.63,8.63,,,,,,,,,,,,,,,,,21032237066,
"201830KEB2","Keilani Collection","G201833",2012,"TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Cherry",1,"BOX",1,0,"Vietnam","Island inspired styling adds grace and elegance to the Keilani Bedroom collection. Its rich design is accented with exquisite wicker styles resin inlays on all the case pieces and bed. Crafted from select hardwoods and cherry veneers, drawers are constructed with english dovetail sides and smooth full extension glides. Finished in a rich cherry.",86,16.48,"B2 = FOOTBOARD, BOX 2 OF 3",81.88,40.13,8.63,,,,,,,,,,,,,,,,,21032237073,
"201830KEB3","Keilani Collection","G201833",2012,"TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Cherry",1,"BOX",1,0,"Vietnam","Island inspired styling adds grace and elegance to the Keilani Bedroom collection. It's rich design is accented with exquisite wicker styles resin inlays on all the case pieces and bed. Crafted from select hardwoods and cherry veneers, drawers are constructed with engllish dovetail sides and smooth full extension glides. finished in a rich cherry.",34,2.62,"B3 = SIDE RAIL & SLATS, BOX 3 OF 3",77.13,10.63,5.5,,,,,,,,,,,,,,,,,21032237080,
"201830KW","Keilani Collection","G201833",2012,"TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Cherry",1,"BOX",1,0,"Vietnam","Island inspired styling adds grace and elegance to the Keilani Bedroom collection. It's rich design is accented with exquisite wicker styles resin inlays on all the case pieces and bed. Crafted from select hardwoods and cherry veneers, drawers are constructed with engllish dovetail sides and smooth full extension glides. finished in a rich cherry.",,,,,,,"CALIFORNIA KING BED",92.7,74.5,68,,,,,,,,,,,,,,
"201830KWB1","Keilani Collection","G201833",2012,"TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Cherry",1,"BOX",1,0,"Vietnam","Island inspired styling adds grace and elegance to the Keilani Bedroom collection. It's rich design is accented with exquisite wicker styles resin inlays on all the case pieces and bed. Crafted from select hardwoods and cherry veneers, drawers are constructed with engllish dovetail sides and smooth full extension glides. finished in a rich cherry.",98,27.99,"B1 = HEADBOARD, BOX 1 OF 3",77.88,71.63,8.63,,,,,,,,,,,,,,,,,21032237097,
"201830KWB2","Keilani Collection","G201833",2012,"TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Cherry",1,"BOX",1,0,"Vietnam","Island inspired styling adds grace and elegance to the Keilani Bedroom collection. It's rich design is accented with exquisite wicker styles resin inlays on all the case pieces and bed. Crafted from select hardwoods and cherry veneers, drawers are constructed with engllish dovetail sides and smooth full extension glides. finished in a rich cherry.",84,15.7,"B2 = FOOTBOARD, BOX 2 OF 3",77.88,40.13,8.63,,,,,,,,,,,,,,,,,21032237103,
"201830KWB3","Keilani Collection","G201833",2012,"TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Cherry",1,"BOX",1,0,"Vietnam","Island inspired styling adds grace and elegance to the Keilani Bedroom collection. It's rich design is accented with exquisite wicker styles resin inlays on all the case pieces and bed. Crafted from select hardwoods and cherry veneers, drawers are constructed with engllish dovetail sides and smooth full extension glides. finished in a rich cherry.",36,2.75,"B3 = SIDE RAIL & SLATS, BOX 3 OF 3",81.13,10.63,5.5,,,,,,,,,,,,,,,,,21032237110,
"201830Q","Keilani Collection","G201833",2012,"TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Cherry",1,"BOX",1,0,"Vietnam","Island inspired styling adds grace and elegance to the Keilani Bedroom collection. It's rich design is accented with exquisite wicker styles resin inlays on all the case pieces and bed. Crafted from select hardwoods and cherry veneers, drawers are constructed with engllish dovetail sides and smooth full extension glides. finished in a rich cherry.",,,,,,,"QUEEN SIZE BED",90.8,66,68,,,,,,,,,,,,,,
"201830QB1","Keilani Collection","G201833",2012,"TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Cherry",1,"BOX",1,0,"Vietnam","Island inspired styling adds grace and elegance to the Keilani Bedroom collection. It's rich design is accented with exquisite wicker styles resin inlays on all the case pieces and bed. Crafted from select hardwoods and cherry veneers, drawers are constructed with engllish dovetail sides and smooth full extension glides. finished in a rich cherry.",85.8,24.18,"B1 = HEADBOARD, BOX 1 OF 3",67.38,71.63,8.63,,,,,,,,,,,,,,,,,21032237127,
"201830QB2","Keilani Collection","G201833",2012,"TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Cherry",1,"BOX",1,0,"Vietnam","Island inspired styling adds grace and elegance to the Keilani Bedroom collection. It's rich design is accented with exquisite wicker styles resin inlays on all the case pieces and bed. Crafted from select hardwoods and cherry veneers, drawers are constructed with engllish dovetail sides and smooth full extension glides. finished in a rich cherry.",70.4,13.55,"B2 = FOOTBOARD, BOX 2 OF 3",67.38,40.13,8.63,,,,,,,,,,,,,,,,,21032237134,
"201830QB3","Keilani Collection","G201833",2012,"TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","BED",,"Cherry",1,"BOX",1,0,"Vietnam","Island inspired styling adds grace and elegance to the Keilani Bedroom collection. It's rich design is accented with exquisite wicker styles resin inlays on all the case pieces and bed. Crafted from select hardwoods and cherry veneers, drawers are constructed with engllish dovetail sides and smooth full extension glides. finished in a rich cherry.",39.6,2.86,"B3 = SIDE RAIL & SLATS, BOX 3 OF 3",84.25,10.63,5.5,,,,,,,,,,,,,,,,,21032237141,
201832,"Keilani Collection","G201833",2012,"TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","NIGHTSTAND",,"Cherry",0,"BOX",1,0,"Vietnam","Island inspired styling adds grace and elegance to the Keilani Bedroom collection. It's rich design is accented with exquisite wicker styles resin inlays on all the case pieces and bed. Crafted from select hardwoods and cherry veneers, drawers are constructed with engllish dovetail sides and smooth full extension glides. finished in a rich cherry.",91.49,13.34,"NIGHT STAND",20.07,33.26,28.14,"NIGHT STAND",31,17,28,,,,,,,,,,,,,21032237158,
201833,"Keilani Collection","G201833",2012,"TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","DRESSER",,"Cherry",0,"BOX",1,0,"Vietnam","Island inspired styling adds grace and elegance to the Keilani Bedroom collection. It's rich design is accented with exquisite wicker styles resin inlays on all the case pieces and bed. Crafted from select hardwoods and cherry veneers, drawers are constructed with engllish dovetail sides and smooth full extension glides. finished in a rich cherry.",213.85,42.64,"DRESSER",23.22,41.73,68.5,"DRESSER",65.5,20.5,41.5,,,,,,,,,,,,,21032237165,
201834,"Keilani Collection","G201833",2012,"TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","MIRROR",,"Cherry",0,"BOX",1,0,"Vietnam","Island inspired styling adds grace and elegance to the Keilani Bedroom collection. It's rich design is accented with exquisite wicker styles resin inlays on all the case pieces and bed. Crafted from select hardwoods and cherry veneers, drawers are constructed with engllish dovetail sides and smooth full extension glides. finished in a rich cherry.",59.52,6.7,"MIRROR",45.47,49.21,5.7,"MIRROR",40.5,45.7,4,,,,,,,,,,,,,21032237172,
201835,"Keilani Collection","G201833",2012,"TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","CHEST",,"Cherry",0,"BOX",1,0,"Vietnam","Island inspired styling adds grace and elegance to the Keilani Bedroom collection. It's rich design is accented with exquisite wicker styles resin inlays on all the case pieces and bed. Crafted from select hardwoods and cherry veneers, drawers are constructed with engllish dovetail sides and smooth full extension glides. finished in a rich cherry.",164.24,32.05,"CHEST",22.24,40.94,54.72,"CHEST",38.3,19,54.3,,,,,,,,,,,,,21032237189,
201836,"Keilani Collection","G201833",2012,"TRA (TRADITIONAL)","B (BEDROOM)","MASTER BEDROOM","MEDIA CHEST",,"Cherry",0,"BOX",1,0,"Vietnam","Island inspired styling adds grace and elegance to the Keilani Bedroom collection. It's rich design is accented with exquisite wicker styles resin inlays on all the case pieces and bed. Crafted from select hardwoods and cherry veneers, drawers are constructed with engllish dovetail sides and smooth full extension glides. finished in a rich cherry.",163.14,29.94,"MEDIA CHEST",20.86,42.91,50.78,"MEDIA CHEST",48,18,40,,,,,,,,,,,,,21032237196,
"201850KE","Grendel Collection","G201853",2012,"COU (COUNTRY)","B (BEDROOM)","MASTER BEDROOM","BED",,"Oak",1,"BOX",1,0,"Malaysia","The Grendel bedroom collection features an updated craftsman style. Slightly arched headboard and footboard boost a simple keyhole design and is enhanced by the medium oak finish. Drawers are constructed with dovetail sides and smooth metal on metal drawer glides. This collection is crafted from select hardwoods and ash veneers.",,,,,,,"EASTERN KING BED",87.75,82.5,55.75,,,,,,,,,,,,,,
"201850KEB1","Grendel Collection","G201853",2012,"COU (COUNTRY)","B (BEDROOM)","MASTER BEDROOM","BED",,"Oak",1,"BOX",1,0,"Malaysia","The Grendel bedroom collection features an updated craftsman style. Slightly arched headboard and footboard boost a simple keyhole design and is enhanced by the medium oak finish. Drawers are constructed with dovetail sides and smooth metal on metal drawer glides. This collection is crafted from select hardwoods and ash veneers.",0.01,5.97,"B1 = HEADBOARD, BOX 1 OF 3",83.88,32.88,3.75,,,,,,,,,,,,,,,,,21032241506,
"201850KEB2","Grendel Collection","G201853",2012,"COU (COUNTRY)","B (BEDROOM)","MASTER BEDROOM","BED",,"Oak",1,"BOX",1,0,"Malaysia","The Grendel bedroom collection features an updated craftsman style. Slightly arched headboard and footboard boost a simple keyhole design and is enhanced by the medium oak finish. Drawers are constructed with dovetail sides and smooth metal on metal drawer glides. This collection is crafted from select hardwoods and ash veneers.",0.01,5.79,"B2 = FOOTBOARD, BOX 2 OF 3",83.88,31.88,3.75,,,,,,,,,,,,,,,,,21032241513,
"201850KEB3","Grendel Collection","G201853",2012,"COU (COUNTRY)","B (BEDROOM)","MASTER BEDROOM","BED",,"Oak",1,"BOX",1,0,"Malaysia","The Grendel bedroom collection features an updated craftsman style. Slightly arched headboard and footboard boost a simple keyhole design and is enhanced by the medium oak finish. Drawers are constructed with dovetail sides and smooth metal on metal drawer glides. This collection is crafted from select hardwoods and ash veneers.",0.01,1.31,"B3 = SIDE RAIL & SLATS, BOX 3 OF 3",84,7.63,3.5,,,,,,,,,,,,,,,,,21032241520,
"201850KW","Grendel Collection","G201853",2012,"COU (COUNTRY)","B (BEDROOM)","MASTER BEDROOM","BED",,"Oak",1,"BOX",1,0,"Malaysia","The Grendel bedroom collection features an updated craftsman style. Slightly arched headboard and footboard boost a simple keyhole design and is enhanced by the medium oak finish. Drawers are constructed with dovetail sides and smooth metal on metal drawer glides. This collection is crafted from select hardwoods and ash veneers.",,,,,,,"CALIFORNIA KING BED",93.62,78.62,56,,,,,,,,,,,,,,
